Series Name,Series Code,Region,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,British Virgin Islands,VGB,73.927,73.966,75.574,75.612,75.675,75.724,74.785,75.831,75.863,75.849,74.494,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Brunei Darussalam,BRN,71.656,74.08,74.799,74.779,74.75,74.733,74.722,74.712,74.748,74.795,74.642,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Bulgaria,BGR,71.64146341,71.66341463,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463,75.11219512,73.65853659,71.51463415,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Burkina Faso,BFA,49.44,50.847,57.823,58.359,58.845,59.326,59.536,60.047,60.039,59.731,59.27,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Burundi,BDI,44.86,47.514,59.235,59.868,60.217,60.793,61.553,61.688,62.351,61.566,61.663,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Cabo Verde,CPV,65.023,68.618,75.059,75.24,74.62,75.742,76.593,75.733,76.004,74.808,74.052,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Cambodia,KHM,55.434,58.625,69.304,69.736,69.873,70.224,70.515,70.561,70.692,70.416,69.584,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Cameroon,CMR,54.868,52.932,58.476,58.935,59.658,60.233,60.81,61.18,61.584,60.833,60.333,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Canada,CAN,77.43658537,79.16682927,81.74487805,81.78439024,81.81560976,81.92487805,81.83292683,81.84390244,82.22878049,81.6704878,82.59660976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Central African Republic,CAF,49.635,45.406,50.902,50.566,52.793,53.46,53.721,54.369,55.025,54.604,53.895,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Chad,TCD,44.686,47.443,50.781,51.202,51.589,52.083,52.308,52.825,53.259,52.777,52.525,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,#N/A,Channel Islands,CHI,77.185,79.155,81.516,81.884,81.433,81.366,81.331,81.375,81.39,81.264,81.232,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South America,Chile,CHL,72.574,76.87,79.339,79.473,79.746,80.079,80.35,80.133,80.326,79.377,78.944,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,China,CHN,68.005,71.881,76.452,76.717,76.977,77.218,77.248,77.744,77.968,78.077,78.211,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South America,Colombia,COL,68.644,71.32,75.827,76.043,76.257,76.471,76.646,76.748,76.752,74.769,72.83,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Comoros,COM,55.84,58.757,62.224,62.516,62.896,63.237,63.625,63.912,64.068,64.166,63.417,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,"Congo, Dem. Rep.",COD,48.601,51.781,57.762,58.296,58.49,59.066,59.411,59.942,60.276,59.739,59.193,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,"Congo, Rep.",COG,55.926,53.682,62.695,62.95,63.233,63.577,63.76,64.053,62.747,63.785,63.519,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Costa Rica,CRI,76.63,77.586,79.403,78.774,79.086,79.459,79.377,79.484,79.427,79.277,77.023,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Cote d'Ivoire,CIV,52.603,50.842,56.748,57.208,57.762,58.06,58.48,58.849,59.319,59.032,58.598,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Croatia,HRV,72.1704878,72.80780488,77.12682927,77.47804878,77.27560976,78.02195122,77.82682927,78.07073171,78.42439024,77.72439024,76.42439024,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Cuba,CUB,74.039,76.183,77.87,77.853,77.772,77.643,77.529,77.496,77.611,77.567,73.683,..
